Name,Postal Code,Kind of build,Year of build
van Ostadelaan 34,1412,Bestaande bouw,1952
C. van Everdingenlaan 2,1701,Bestaande bouw,1972
Frida Katzlanden 6,7542,Bestaande bouw,1988
Canneveltstraat 8,8325,Bestaande bouw,2006
Anne Frankstraat 6,5142,Bestaande bouw,1988
Dorpsweg 6,4491,Bestaande bouw,1930
Zonnehof 9,1121,Bestaande bouw,1972
Koningsvaren 59,1441,Bestaande bouw,1978
Woudhuizerweg 59,7325,Bestaande bouw,1994
Vaarwerkhorst 109,7531,Bestaande bouw,1976
Tongerhof 7,5673,Bestaande bouw,1993
Boschweg 1,5481,Bestaande bouw,1978
Buitenweeren 15,1151,Bestaande bouw,1965
Jacques Offenbachplantsoen 7,3543,Bestaande bouw,2004
Ruwenbos 48,7543,Bestaande bouw,1995
Thedingecamp 59,7824,Bestaande bouw,1963
Bosrank 3,2496,Bestaande bouw,2001
Kerkstraat 21 B en C,5443,Bestaande bouw,2001
het Bijltje 39,8162,Bestaande bouw,1973
Berkenschakel 35,7437,Bestaande bouw,2001
van der Weidenstraat 4,5708,Bestaande bouw,2017
Ritzema Bosweg 15,6706,Bestaande bouw,1934
Lage Horst 55,7031,Bestaande bouw,2009
Beukenhof 8,3894,Bestaande bouw,2009
Plesmanstraat 20,5061,Bestaande bouw,1965
Tonkensven 48,9302,Bestaande bouw,1993
Voorstraat 34,3251,Bestaande bouw,1956
Lokerenstraat 12,1066,Bestaande bouw,1994
Heemraad 59,1689,Bestaande bouw,2006
Elzehôf 7,8531,Bestaande bouw,2017
Bart van der Leckstraat 19,3059,Bestaande bouw,2001
Voorstraat 11,4153,Bestaande bouw,1901
Maïsberg 110,4708,Bestaande bouw,2000
Nicolaas Beetslaan 32,1187,Bestaande bouw,2010
Papiermolen 29,2406,Bestaande bouw,1989
Baexemerweg 32,6096,Bestaande bouw,1993
Spoorland 16,1541,Bestaande bouw,1976
Rousseaustraat 9,7323,Bestaande bouw,1968
De Palts 2,9436,Bestaande bouw,1940
Workumstraat 37,8304,Bestaande bouw,1980
Vondelstraat 24,6445,Bestaande bouw,1973
Deilsedijk 71,4158,Bestaande bouw,1925
Zouterik 16,4553,Bestaande bouw,1974
Kempersdijk 39 A,7161,Bestaande bouw,1970
Onderweg 69,4241,Bestaande bouw,1926
Splittingstraat 2,7848,Bestaande bouw,1957
Krimperij 6,6717,Bestaande bouw,2019
Fortjesweg 34,3251,Bestaande bouw,2008
Standaardmolen 25,2906,Bestaande bouw,1987
Eikenlaan 1,5453,Bestaande bouw,1960
Torricellistraat 21,7535,Bestaande bouw,1959
Krakkedel 22,6686,Bestaande bouw,1906-1930
Dovenetel 13,2671,Bestaande bouw,1981
Kerkhoflaan 6,1462,Bestaande bouw,1961
Dinkelstraat 7,3433,Bestaande bouw,2005
Wilhelminastraat 29,3417,Bestaande bouw,1945-1959
Gentiaanstraat 2,2802,Bestaande bouw,1951
Vingboonsstraat 46,1222,Bestaande bouw,1954
De Dagmaat 6,8252,Bestaande bouw,1992
Sint Michaëllaan 14,6049,Bestaande bouw,2008
Dokter W Nijestraat 66,2064,Bestaande bouw,1976
Cimbaalstraat 13,6544,Bestaande bouw,1965
Braamstraat 3,2681,Bestaande bouw,1930
Bark 68,2991,Bestaande bouw,1976
Zieltjes 7,8375,Bestaande bouw,2006
Julianastraat 34,6673,Bestaande bouw,1981
Poortstraat 23,1502,Bestaande bouw,1934
De Terugblik 28,3823,Bestaande bouw,1992
Groene Dijk 46,3403,Bestaande bouw,2017
Flierveld 51,2151,Bestaande bouw,2002
Rijksstraatweg 2,3631,Bestaande bouw,1928
Markt 11,6981,Bestaande bouw,1650
Hendrik Smitstraat 17,1222,Bestaande bouw,1931
Reigerweide 2,3993,Bestaande bouw,1979
Sterremos 63,2914,Bestaande bouw,1977
Polderstraat 2,3216,Bestaande bouw,1978
Claverenbladstraat 120,3833,Bestaande bouw,1983
Bryhoekstraat 12,3223,Bestaande bouw,1961
Korte Koningsstraat 30,1011,Bestaande bouw,1910
Kromsteeg 52,5331,Bestaande bouw,1963
Albert Schweitzerplaats 166,3069,Bestaande bouw,1983
Herentalsstraat 40,1066,Bestaande bouw,1992
De Hooght 80,3353,Bestaande bouw,2015
Clematisstraat 15,5482,Bestaande bouw,1974
Reinier Kloegstraat 44,3191,Bestaande bouw,1989
Leegraaf 2,6611,Bestaande bouw,1997
Heijermansstraat 105,1502,Bestaande bouw,1930
Diergaarde 9,7071,Bestaande bouw,1935
Brugakker 6630,3704,Bestaande bouw,1979
De Blokken 90,7894,Bestaande bouw,1966
Nijverheidssingel 93,4811,Bestaande bouw,2001
Bosschendijk 64,4731,Bestaande bouw,1961
Renesselaan 27,3454,Bestaande bouw,1969
Terschellingstraat 60,1181,Bestaande bouw,1961
Haverlij 8,8219,Bestaande bouw,2016
Jazzsingel 904,3543,Bestaande bouw,2016
Koppelwijk OZ 11,7881,Bestaande bouw,1977
Groenlinglaan 8,3951,Bestaande bouw,1991
Euroweg 117,9351,Bestaande bouw,1972
Wilhelminapark 66,4818,Bestaande bouw,1906
Willibrorduslaan 64,1216,Bestaande bouw,1972
Burgemeester Postmastraat 25,1461,Bestaande bouw,2015
Van Mekerenstraat 7,6655,Bestaande bouw,1972
Scarlattistraat 7,2901,Bestaande bouw,1997
Turfschip 11,3904,Bestaande bouw,1978
Rubenshof 15,4907,Bestaande bouw,1981
Bredalaan 81,5652,Bestaande bouw,1938
Marjoleinlaan 32,1187,Bestaande bouw,2008
Rembrandtlaan 47,8021,Bestaande bouw,1920
Botenmakersstraat 100,1506,Bestaande bouw,1911
Dennenlaan 4,3862,Bestaande bouw,1960-1970
Italiaanse Zeedijk 38,1621,Bestaande bouw,1882
De Wickelaan 1,2265,Bestaande bouw,1991
Rietgorspad 32,1454,Bestaande bouw,2018
Nijverheidstraat 5,7061,Bestaande bouw,1945-1959
Moye Keene 141,4791,Bestaande bouw,1973
Zeestraat 37,2042,Bestaande bouw,1931-1944
Reling 5,9732,Bestaande bouw,2006
Spoorstraat 13,6446,Bestaande bouw,1916
Jeneverbes 20,7483,Bestaande bouw,2003
Valkenierslaan 231,4834,Bestaande bouw,1920
Edendreef 32,6716,Bestaande bouw,1991
De Quayhof 7,4871,Bestaande bouw,1993
Volger 54,6662,Bestaande bouw,2007
Buitenhof 38,1354,Bestaande bouw,1978
Het Rijpaard 18,8252,Bestaande bouw,1991
Mr. Calspark 10,6716,Bestaande bouw,1990
Fuut 11,3641,Bestaande bouw,1980
Vincent van Goghlaan 14,5581,Bestaande bouw,1960
Pastorielaan 6,8161,Bestaande bouw,1953
Pater Verschurenstraat 31,4854,Bestaande bouw,1990
Burgemeester van Zuijenstraat 4,4511,Bestaande bouw,1949
Boskant 128,6603,Bestaande bouw,1750
Narvastraat 17,1506,Bestaande bouw,2018
Thialfweg 15,8441,Bestaande bouw,1935
Koningin Sophialaan 16,3818,Bestaande bouw,1949
Reynout van Gelrelaan 26,6957,Bestaande bouw,1964
Blauwstraat 40,4651,Bestaande bouw,1986
Colinslandsedijk 26,3234,Bestaande bouw,1906-1930
Symfonie 87,1507,Bestaande bouw,1990
Laarmanstraat 22,1851,Bestaande bouw,1930
Kastanjelaan 29,9741,Bestaande bouw,1973
Geesterland 2,1645,Bestaande bouw,1994
Anjerlaan 47,5492,Bestaande bouw,1960
Toon Hermanslaan 23,1948,Bestaande bouw,2002
Bogaardstraat,4527,Bestaande bouw,2002
Kerkstraat 12,7741,Bestaande bouw,2002
Laan van Rhemen van Rhemenshuizen 15,2242,Bestaande bouw,2002
Oranjelaan 1 C,6301,Bestaande bouw,2002
Voorstad 22 a,6131,Bestaande bouw,2002
Bloemsingel,9712,Bestaande bouw,2002
Balgweg 12 c,1764,Bestaande bouw,2002
Spoordamstraat 74,6415,Bestaande bouw,2002
Brunhildestraat 14,6132,Bestaande bouw,2002
Dorpstraat 105 .,5595,Bestaande bouw,2002
Dalemsestraat 19 - 19a,4691,Bestaande bouw,2002
Lanterdijk 6,6116,Bestaande bouw,2002
Stalbergweg 53,5913,Bestaande bouw,2002
Op den Hamel 22,5912,Bestaande bouw,2002
Brandt 1,6107,Bestaande bouw,2002
Westkade 72,4551,Bestaande bouw,2002
Kapittelland 16,3151,Bestaande bouw,2002
Sloestraat,4417,Bestaande bouw,2002
Mauritsweg 45 G,3012,Bestaande bouw,2002
Julianastraat 3,4524,Bestaande bouw,2002
Burchtstraat 13,4501,Bestaande bouw,2002
Utrechtsestraat 8,6021,Bestaande bouw,2002
Oude Venloseweg 92,5941,Bestaande bouw,2002
Mauritsweg 45 C,3012,Bestaande bouw,2002
Viergrenzenweg 68,6291,Bestaande bouw,2002
Walstraat 22,5341,Bestaande bouw,2002
Piet Heinstraat 33,4587,Bestaande bouw,2002
Hulsterloostraat 6,4568,Bestaande bouw,2002
Hoofdweg Zuid 47,4574,Bestaande bouw,2002
Kerkstraat 74,3751,Bestaande bouw,2002
Verboeckhorststraat 15,5922,Bestaande bouw,2002
Kerkstraat 7,5931,Bestaande bouw,2002
Molendijk 28,4453,Bestaande bouw,2002
Watermunt 124,5931,Bestaande bouw,2002
Tulpstraat 16,4569,Bestaande bouw,2002
Boulevard de Wielingen 7 12,4506,Bestaande bouw,2002
Hooftstraat 117 B,3314,Bestaande bouw,2002
Tweede Helmersstraat 2,1054,Bestaande bouw,2002
Boulevard de Wielingen 7 28,4506,Bestaande bouw,2002
Borchmolendijk 11,5492,Bestaande bouw,2002
Tsjerke Ekers,8855,Bestaande bouw,2002
Kerkstraat 18,4611,Bestaande bouw,2002
Kerkstraat 3,6466,Bestaande bouw,2002
Cremerstraat 14,6301,Bestaande bouw,2002
Koepeldwarsstraat 2 -4,4611,Bestaande bouw,2002
Wijk 3 13,8321,Bestaande bouw,2002
Graaf van Kesselstraat 34,5991,Bestaande bouw,2002
Zonnebloemstraat 33,1777,Bestaande bouw,2002
Molenhofstraat 23,6669,Bestaande bouw,2002
Kerkstraat 7 9,3245,Bestaande bouw,2002
Osseweg 81,5351,Bestaande bouw,2002
de Balmerd 185,6641,Bestaande bouw,2002
Hoek 21,5768,Bestaande bouw,2002
Schoolstraat 27 -A-B,6223,Bestaande bouw,2002
Schoolstraat 30,5931,Bestaande bouw,2002
van Gronsveldstraat 8,6463,Bestaande bouw,2002
Wezelsedijk 31,6604,Bestaande bouw,2002
Iemingecamp 21,7824,Bestaande bouw,2002
Kantstraat 22,6374,Bestaande bouw,2002
Henri-Dunantstraat 34,4564,Bestaande bouw,2002
Dopperstraat 19,3752,Nieuwbouw,2002
Nieuwe Veenendaalseweg 177,3911,Bestaande bouw,2002
Zeverij 2,6372,Bestaande bouw,2002
Galgenvenstraat 60,5932,Bestaande bouw,2002
Wilgenplantsoen 41,4537,Bestaande bouw,2002
Parnassiastraat 13,1796,Bestaande bouw,2002
Waterstraat 26,5961,Bestaande bouw,2002
Boompjes 30,7607,Bestaande bouw,2002
Violierstraat 28,5925,Bestaande bouw,2002
Grensstraat 9 A,6464,Bestaande bouw,2002
Boulevard de Wielingen 66 9 en 10,4506,Bestaande bouw,2002
Blokwieke 60,9501,Bestaande bouw,2002
Vinckenhofstraat 192,5913,Bestaande bouw,2002
Wijnbrugstraat 17 a,3011,Nieuwbouw,2002
Dalemhof 8,4691,Bestaande bouw,2002
Henegouwerplein 2 B,3021,Nieuwbouw,2002
Het Lint 46,4691,Nieuwbouw,2002
Citadelstraat 23,5397,Nieuwbouw,2002
Steenwijkerdiep-Noord 12 a,8371,Nieuwbouw,2002
Sloestraat,4417,Nieuwbouw,2002
Ondernemersweg 2,4691,Bestaande bouw,2002
Spoorstraat 15,5931,Bestaande bouw,2002
Gulikstraat 113,5913,Bestaande bouw,2002
Turfstraat 30,5914,Nieuwbouw,2002
Aalscholverstraat 6,5912,Bestaande bouw,2002
Pepijnstraat 132,5922,Bestaande bouw,2002
Reigerstraat 33,5912,Nieuwbouw,2002
Heggewikke 2,5913,Bestaande bouw,2002
Inlaat 8,1613,Bestaande bouw,2002
Leutherweg 29,5915,Bestaande bouw,2002
Weidestraat 7,6127,Beschikbaar,2002
Karel van Egmondstraat 16,5913,Nieuwbouw,2002
Antoniusmeule 28,5921,Nieuwbouw,2002
Oorlogsheldenplein 14,5346,Nieuwbouw,2002
Vrijheer van Eslaan 63,3353,Bestaande bouw,2002
Koesdonkerveldweg 7,5991,Nieuwbouw,2002
Cornelis de Vosplein 4,4561,Bestaande bouw,2002
Bredeweg 466,6044,Nieuwbouw,2002
Kerkstraat 19,5931,Nieuwbouw,2002
Korstestraat 4,5351,Nieuwbouw,2002
Reigersweg 148,7331,Nieuwbouw,2002
Daalhemerweg 15,6301,Nieuwbouw,2002
Reysenbeckstraat 11,5963,Bestaande bouw,2002
Rijksweg Centrum 93,6161,Nieuwbouw,2002
de Gagelrijzen 58,4711,Nieuwbouw,2002
Diepenbroeklaan 100,5991,Nieuwbouw,2002
Magnoliastraat 26,5925,Nieuwbouw,2002
Spoorstraat 65,5931,Nieuwbouw,2002
Frans Coehorststraat 9,5913,Nieuwbouw,2002
Molendwarsstraat 9,1791,Bestaande bouw,2002
Voorstraat 68,4503,Bestaande bouw,2002
Gyssenbergstraat 16,5975,Nieuwbouw,2002
Ariënsstraat 1,5931,Nieuwbouw,2002
Maliebaan 11,5944,Nieuwbouw,2002
Molenstraat 65,4731,Bestaande bouw,2002
Requesensstraat 13,5923,Nieuwbouw,2002
Engerstraat 27,5931,Bestaande bouw,2002
Veegtesstraat 7,5916,Nieuwbouw,2002
Hoofdstraat 22,5961,Nieuwbouw,2002
Baan 56 c,3011,Bestaande bouw,2002
Boulevard de Wielingen 13 E,4506,Bestaande bouw,2002
Rijnbeekstraat 97,5913,Bestaande bouw,2002
Burgemeester Hendrixhof 11,5953,Nieuwbouw,2002
Burgemeester van der Jagtkade 66,3221,Nieuwbouw,2002
Kievitlaan 38,4461,Bestaande bouw,2002
Breeuwer - 917,1625,Bestaande bouw,2002
Kerkweg 20,5711,Bestaande bouw,2002
Jaagweg 15,1441,Nieuwbouw,2002
Muraltplein 4,7271,Nieuwbouw,2002
Dorpsstraat 26,4513,Bestaande bouw,2002
Prins Hendrikstraat 15,4675,Bestaande bouw,2002
Zuiddijkstraat 52,4524,Bestaande bouw,2002
Molendijk 7,3258,Bestaande bouw,2002
Heisteeg 26 B,5062,Bestaande bouw,2002
Torenstraat 13,1601,Bestaande bouw,2002
Dr. Eijnattenlaan 1,5711,Bestaande bouw,2002
Herungerberg 274,5916,Bestaande bouw,2002
Foksdiep 53 55,8321,Bestaande bouw,2002
Petrus Dorrstraat 4,6466,Nieuwbouw,2002
Coentjesweg,4698,Bestaande bouw,2002
Toermalijn 35,5912,Bestaande bouw,2002
Nijtsjerksterwei 12,9143,Nieuwbouw,2002
Langestraat 44,4501,Bestaande bouw,2002
Raadhuisplein 25 A.,2941,Beschikbaar,2002
Gebroeders Fodorstraat 22,5913,Nieuwbouw,2002
Willem de Zwijgerlaan 27,4561,Nieuwbouw,2002
Molendijk 10,3244,Nieuwbouw,2002
Leerdamhof 294,1108,Nieuwbouw,2002
Duinlaan 6 b,4506,Bestaande bouw,2002
Pieter Vreedeplein 60,5038,Nieuwbouw,2002
Groeneplaats 2 G,1791,Bestaande bouw,2002
Duinlaan 6 c,4506,Bestaande bouw,2002
Haardstee 150,1102,Bestaande bouw,2002
Bloemsingel,9712,Bestaande bouw,2002
Duinlaan 6,4506,Bestaande bouw,2002
Duinlaan 6 a,4506,Bestaande bouw,2002
Spalstraat 8 B,7255,Bestaande bouw,2002
Baan 52 v,3011,Bestaande bouw,2002
Prins Frederikstraat 68,5951,Bestaande bouw,2002
It Roer 9,9035,Bestaande bouw,2002
Hennenstraatje,6005,Bestaande bouw,2002
Johan van der Keukenstraat,1087,Bestaande bouw,2002
Beckershof 58 -3.3.1,5768,Bestaande bouw,2002
Oisterwijkseweg 30 A,5066,Bestaande bouw,2002
Sparrestraat 39,1505,Bestaande bouw,2002
Wolbes Landen,7627,Nieuwbouw,2002
Rijksweg 72 a,4255,Bestaande bouw,2002
Hoofdweg 42,8383,Bestaande bouw,2002
Nicolaas Beetsstraat 13,4532,Bestaande bouw,2002
Badhuisweg 1 M,4506,Bestaande bouw,2002
Jachthaven 1,2172,Bestaande bouw,2002
Telheidestraat 1,6006,Bestaande bouw,2002
Kruithuisstraat 36,4515,Bestaande bouw,2002
Meerssenderweg 30,6301,Bestaande bouw,2002
Wijnstraat 117 K7,3311,Bestaande bouw,2002
Schweibergerweg 53,6281,Bestaande bouw,2002
Gulperplein 31,6461,Bestaande bouw,2002
Provincialeweg Zuid 164,6438,Bestaande bouw,2002
Julianastraat 28,4566,Bestaande bouw,2002
Petrus Dorrstraat 4,6466,Bestaande bouw,2002
Rouenhof 19,6372,Bestaande bouw,2002
Van Harinxmastrjitte,9288,Bestaande bouw,2002
Patersstraat 23,5981,Bestaande bouw,2002
Jubileumplein 12,6161,Bestaande bouw,2002
Wilhelmina Sangersstraat 8,5803,Bestaande bouw,2002
Genzon 4,6235,Bestaande bouw,2002
Julianalaan 3,6151,Bestaande bouw,2002
Spalstraat 8 A,7255,Bestaande bouw,2002
Vondelstraat 49,5144,Bestaande bouw,2002
Lange Wolstraat 7,4524,Bestaande bouw,2002
Beckershof 46 -3.0.4,5768,Bestaande bouw,2002
Middelweg (De Smitse Bouwnr. 4),2957,Bestaande bouw,2002
Middelweg (De Smitse Bouwnr. 1),2957,Bestaande bouw,2002
Middelweg (De Smitse Bouwnr. 2),2957,Bestaande bouw,2002
Irenestraat 58,6707,Bestaande bouw,2002
Hennenstraatje,6005,Bestaande bouw,2002
Wilhelminastraat,4281,Bestaande bouw,2002
Schoolstraat 40,6351,Bestaande bouw,2002
Stationsstraat 7,6365,Bestaande bouw,2002
Chopinstraat 5,7271,Bestaande bouw,2002
Rectorijstraat,6005,Nieuwbouw,2002
Stenenkamerstraat 8,6674,Bestaande bouw,2002
Notendijk 45,4583,Bestaande bouw,2002
Willem-Sophiaplein 12,6466,Nieuwbouw,2002
Grensstraat 126,6374,Bestaande bouw,2002
Patersweg 30,6431,Bestaande bouw,2002
Giezenhof 4,6418,Bestaande bouw,2002
Gildestraat,6711,Bestaande bouw,2002
Magnoliastraat 11,6413,Bestaande bouw,2002
Piusplein 25 03,5038,Nieuwbouw,2002
Rijssensestraat 63 67,7442,Bestaande bouw,2002
Blekerij 52 B,6212,Bestaande bouw,2002
Blekerij 52 A,6212,Bestaande bouw,2002
Oranjelaan 1 E,6301,Bestaande bouw,2002
Oranjelaan 1 A,6301,Bestaande bouw,2002
Laurentiusdijk,4651,Bestaande bouw,2002
Stadspolder 5,9688,Bestaande bouw,2002
Deltaplein 234,2554,Bestaande bouw,2002
Burgemeester Geillstraat 16 18,4531,Bestaande bouw,2002
Balgweg 12 a,1764,Bestaande bouw,2002
Wiemers 22,9642,Bestaande bouw,2002
Baan 48 T,3011,Bestaande bouw,2002
Wilhelminastraat,2661,Bestaande bouw,2002
Irenestraat,4569,Bestaande bouw,2002
Lochtenburg,5481,Bestaande bouw,2002
Laaghuissingel 219,5913,Bestaande bouw,2002
Haarlemmertrekvaart 34,2343,Bestaande bouw,2002
Heuvelstraat 1,4566,Bestaande bouw,2002
Waterlaat,5712,Bestaande bouw,2002
Hofweg 1 b,5966,Nieuwbouw,2002
Vuilpanstraat 2 a,4529,Bestaande bouw,2002
Gentsestraat 26,4521,Bestaande bouw,2002
Lage Mierdseweg 17,5085,Bestaande bouw,2002
Vosbergstraat 21,5384,Bestaande bouw,2002
Irenestraat,4569,Bestaande bouw,2002
Irenestraat,4569,Bestaande bouw,2002
Koailoane 3,9172,Bestaande bouw,2002
Vroenhof 114,6301,Bestaande bouw,2002
Patersweg 2,5951,Bestaande bouw,2002
Mgr. Hanssenstraat 10,5871,Bestaande bouw,2002
Greinstraat 13,4529,Bestaande bouw,2002
Bronkhorststraat 2,4651,Bestaande bouw,2002
Erve Roerinck 19,7468,Bestaande bouw,2002
Graeterweg 23,6071,Bestaande bouw,2002
Volderstraat 1,4501,Bestaande bouw,2002
Lanterdweg 25 *,5995,Bestaande bouw,2002
Jongmansweg 56,6413,Bestaande bouw,2002
Lijsterstraat 64,7161,Bestaande bouw,2002
Damstraat 61 B,4401,Bestaande bouw,2002
Gulikstraat 116,5913,Nieuwbouw,2002
Lijsterbesstraat 18,9665,Nieuwbouw,2002
Muldersweg,7627,Bestaande bouw,2002
Boulevard de Wielingen 33,4506,Bestaande bouw,2002
Kasteel ter Borchstraat 29,6116,Bestaande bouw,2002
Sepiastraat 62,5044,Bestaande bouw,2002
Baan 50 m,3011,Bestaande bouw,2002
Molenstraat 1,8326,Bestaande bouw,2002
Diesdonkerweg 9,5724,Bestaande bouw,2002
Hoge Steenweg 30 A,5175,Bestaande bouw,2002
Dabbestraat 55 A,3255,Nieuwbouw,2002
Graeterhofweg 40,6071,Nieuwbouw,2002
Berndijksestraat 14 G,5171,Bestaande bouw,2002
Polenweg 1,4538,Nieuwbouw,2002
Lammenschansplein 25,2321,Nieuwbouw,2002
Burg. Lemmensstraat 125 F,6163,Nieuwbouw,2002
Westbroekse Binnenweg 42 A-C12,3612,Nieuwbouw,2002
Oud-Valkenburg 5,6305,Nieuwbouw,2002
Hereweg 55 B,6373,Bestaande bouw,2002
Liniedijk 10,4571,Bestaande bouw,2002
Oud-Valkenburg 7,6305,Bestaande bouw,2002
Paardestraat 24 -26,6131,Bestaande bouw,2002
Ringdijk,3331,Bestaande bouw,2002
Pasweg 6,6097,Bestaande bouw,2002
Lochtenburg,5481,Bestaande bouw,2002
Jekerstraat 25,6211,Bestaande bouw,2002
Heikantsestraat,4841,Bestaande bouw,2002
Haagweg 143,2321,Bestaande bouw,2002
Scheldestraat 1 5I,4506,Bestaande bouw,2002
Spiegeltuin,5223,Nieuwbouw,2002
Staartmeeslaan,3722,Bestaande bouw,2002
Henri Weltersstraat 68 A,6136,Bestaande bouw,2002
Steegh,5973,Bestaande bouw,2002
Westbaan 350 359,2841,Bestaande bouw,2002
Kortrijk 50,1066,Bestaande bouw,2002
Waterweg 2,1791,Nieuwbouw,2002
Kerklaan 10 A,9665,Nieuwbouw,2002
Grasweg 16,1761,Nieuwbouw,2002
Bierkaaistraat 4,4561,Nieuwbouw,2002
Peijerstraat 28,6101,Nieuwbouw,2002
Anworpstraat 10 -11,4524,Nieuwbouw,2002
de Kempenaersweg 11 a,8539,Nieuwbouw,2002
Hommelweg 2,6114,Nieuwbouw,2002
Hoofdstraat 15,1777,Nieuwbouw,2002
Hammerweg 46,7681,Nieuwbouw,2002
Poggebeltweg,7448,Nieuwbouw,2002
St.Pieterstraat 53,6463,Nieuwbouw,2002
Sparrendreef,5807,Nieuwbouw,2002
Akerstraat 94 98,6466,Nieuwbouw,2002
St.Pieterstraat 51,6463,Bestaande bouw,2002
Romenkamp 48,6438,Bestaande bouw,2002
Dorpsstraat 5 /5a,5768,Bestaande bouw,2002
Dwarslaan 33 NAAST,1261,Nieuwbouw,2002
Adriaan Stooplaan,2051,Bestaande bouw,2002
Moergestelseweg 58,5062,Bestaande bouw,2002
Bouwnummer (Bouwnr. 36),9514,Bestaande bouw,2002
Grindweg,3054,Bestaande bouw,2002
Vierkamer hoekappartement (Bouwnr. 58),4001,Bestaande bouw,2002
Bouwtype H (Bouwnr. 7),6224,Bestaande bouw,2002
Bouwtype C (Bouwnr. 203),6224,Bestaande bouw,2002
Langendijk 3,7223,Bestaande bouw,2002
Bouwtype H (Bouwnr. 220),6224,Nieuwbouw,2002
Bouwtype A (Bouwnr. 26),6224,Bestaande bouw,2002
Herenweg,8537,Bestaande bouw,2002
Den Eik,5843,Bestaande bouw,2002
Parallelweg 26 -240,3849,Bestaande bouw,2002
Lindeplein,5061,Bestaande bouw,2002
KINGS PARK SOUTH APARTMENTS TYPE D (Bouwnr. Z.01.05),2721,Bestaande bouw,2002
Kastanjelaan 2 1,3927,Bestaande bouw,2002
KINGS PARK SOUTH APARTMENTS TYPE C1 (Bouwnr. Z.02.06),2721,Bestaande bouw,2002
Viottastraat 8 h,6815,Bestaande bouw,2002
Rivierdijk (Bouwnr. 39),3371,Bestaande bouw,2002
Kastanjelaan 2 6,3927,Bestaande bouw,2002
Kralingseweg 344,3066,Bestaande bouw,2002
Baandervesting BWNR73,1135,Bestaande bouw,2002
Baandervesting BWNR 59,1135,Bestaande bouw,2002
Gildepad,5076,Bestaande bouw,2002
Gildepad,5076,Bestaande bouw,2002
Baandervesting Bnr.39,1135,Bestaande bouw,2002
2-onder-1-kap (Bouwnr. 19),2676,Bestaande bouw,2002
Bocage H-kavels Steenhouwerstraat (Bouwnr. 7),6101,Bestaande bouw,2002
Beinshoeve Kavel D,2144,Bestaande bouw,2002
Zeehoeveweg,3233,Bestaande bouw,2002
Kavel (Bouwnr. 29),6562,Bestaande bouw,2002
Markt,9251,Bestaande bouw,2002
Baandervesting BWNR 26,1135,Bestaande bouw,2002
Promenadepark Blok B,6411,Bestaande bouw,2002
KNSM-laan,1019,Bestaande bouw,2002
Rivierkavels,2953,Bestaande bouw,2002
Nieuwe Uilenburgerstraat,1011,Bestaande bouw,2002
Noordsingel 2 nabij,8091,Bestaande bouw,2002
Drie Hoefijzers - Baronesse (Bouwnr. 8),4816,Bestaande bouw,2002
Waanderweg 186 B,7812,Bestaande bouw,2002
Waanderweg 186 C,7812,Bestaande bouw,2002
Hart van de Waalsprong Donk en Elft (Bouwnr. 44),6663,Bestaande bouw,2002
Betsy Kaiserhof 25,1624,Bestaande bouw,2002
Betsy Kaiserhof 23,1624,Bestaande bouw,2002
Schoolweg 21,3281,Bestaande bouw,2002
Type 5 (Bouwnr. 12),3116,Bestaande bouw,2002
"Park Hoogveld, Vogelmuur kavel 199",6418,Bestaande bouw,2002
Type 3 (Bouwnr. 17),3116,Bestaande bouw,2002
Groene Woud,4731,Bestaande bouw,2002
Hessenweg 1 of 2,8028,Bestaande bouw,2002
Kastanjelaan 2 7,3927,Bestaande bouw,2002
Harnsesteeg,6721,Bestaande bouw,2002
Brugstraat 49,6121,Bestaande bouw,2002
Lingedijk,4197,Bestaande bouw,2002
Zandzuigerstraat 12,5222,Bestaande bouw,2002
Schoolstraat,9684,Bestaande bouw,2002
Nieuwe Hertogenweg 42 A,6291,Bestaande bouw,2002
Hunain 17,5302,Bestaande bouw,2001
